,zipcode,population,pop_density_sq_mile,housing_units,median_home_price,land_area_sq_mile,water_area_sq_mile,occupied_housing_units,median_household_income,median_age,race_per_white,race_per_black_or_aframr,race_per_native_american,race_per_asian,race_per_pacific_islander,race_per_other,race_per_two_or_more,housing_per_owned_w_mortgage,housing_per_owned_free_clear,housing_per_renter_occupied,housing_per_vacant,vacant_per_for_rent,vacant_per_rented_unoccupied,vacant_per_for_sale,vacant_per_sold_unoccupied,vacant_per_seasonal_recreational,vacant_per_migrant_workers,vacant_per_others,edu_per_less_than_hs,edu_per_hs,edu_per_associates,edu_per_bachelors,edu_per_masters,edu_per_professional,edu_per_phd,child_edu_per_enrolled_public,child_edu_per_enrolled_private,child_edu_per_not_enrolled
0,80013,69588.0,4975.0,26047.0,192800.0,13.99,0.0,24791.0,67857.0,34.0,0.677,0.132,0.009000000000000001,0.064,0.003,0.061,0.053,0.64,0.07,0.24,0.05,0.39,0.02,0.32,0.05,0.03,0.0,0.19,0.08,0.51,0.121,0.205,0.069,0.009000000000000001,0.005,0.82,0.078,0.102
1,80219,61296.0,8166.0,20448.0,151000.0,7.51,0.07,19171.0,39659.0,30.0,0.5820000000000001,0.018000000000000002,0.027000000000000003,0.043,0.001,0.287,0.042,0.42,0.12,0.4,0.06,0.35,0.02,0.25,0.04,0.02,0.0,0.32,0.365,0.48,0.048,0.079,0.022000000000000002,0.004,0.002,0.8390000000000001,0.021,0.14
2,80015,62432.0,4367.0,21996.0,241500.0,14.3,0.23,21240.0,80599.0,35.0,0.759,0.083,0.005,0.071,0.002,0.031,0.049,0.73,0.06,0.18,0.03,0.271,0.016,0.369,0.044000000000000004,0.038,0.006999999999999999,0.255,0.05,0.43,0.1,0.27,0.11,0.02,0.01,0.857,0.086,0.057
3,80134,55075.0,977.0,20452.0,310200.0,56.35,0.08,19555.0,100739.0,35.0,0.9,0.013999999999999999,0.004,0.036000000000000004,0.001,0.017,0.027999999999999997,0.73,0.06,0.17,0.04,0.26,0.02,0.36,0.08,0.09,0.0,0.18,0.02,0.35,0.09,0.39,0.12,0.02,0.01,0.8,0.134,0.066
4,80634,52861.0,1418.0,21776.0,184900.0,37.28,0.09,20456.0,58959.0,36.0,0.8590000000000001,0.008,0.009000000000000001,0.012,0.001,0.08,0.03,0.5,0.15,0.29,0.06,0.41,0.017,0.26899999999999996,0.048,0.057,0.001,0.19899999999999998,0.1,0.5,0.09,0.2,0.07,0.01,0.02,0.779,0.11900000000000001,0.10300000000000001
5,80016,41219.0,877.0,15602.0,372400.0,47.0,1.21,14607.0,101280.0,37.0,0.785,0.057,0.003,0.098,0.001,0.019,0.038,0.67,0.08,0.19,0.06,0.41,0.01,0.28,0.06,0.11,0.0,0.12,0.02,0.35,0.09,0.34,0.15,0.03,0.02,0.813,0.11800000000000001,0.068
6,80525,48419.0,1998.0,21347.0,269000.0,24.24,1.6,20324.0,63754.0,36.0,0.9079999999999999,0.01,0.006,0.027000000000000003,0.001,0.023,0.025,0.47,0.12,0.36,0.05,0.494,0.040999999999999995,0.162,0.043,0.136,0.001,0.12300000000000001,0.04,0.35,0.08,0.31,0.16,0.03,0.04,0.802,0.124,0.075
7,80631,48603.0,473.0,17984.0,126500.0,102.85,0.96,16148.0,30235.0,25.0,0.727,0.023,0.015,0.013999999999999999,0.001,0.183,0.037000000000000005,0.28,0.11,0.51,0.1,0.539,0.018000000000000002,0.163,0.025,0.02,0.006,0.22899999999999998,0.278,0.494,0.068,0.10300000000000001,0.042,0.005,0.01,0.818,0.034,0.14800000000000002
8,80229,49598.0,3769.0,18023.0,149000.0,13.16,0.37,16965.0,47403.0,30.0,0.6990000000000001,0.02,0.017,0.027999999999999997,0.001,0.19399999999999998,0.040999999999999995,0.48,0.11,0.36,0.06,0.43,0.03,0.27,0.04,0.02,0.0,0.21,0.21,0.5770000000000001,0.086,0.091,0.028999999999999998,0.005,0.002,0.823,0.054000000000000006,0.122
9,80504,46876.0,473.0,16985.0,258100.0,99.06,3.89,16179.0,80000.0,36.0,0.852,0.009000000000000001,0.009000000000000001,0.027999999999999997,0.001,0.07400000000000001,0.027999999999999997,0.67,0.11,0.17,0.05,0.156,0.02,0.365,0.055999999999999994,0.171,0.004,0.228,0.09,0.44,0.08,0.26,0.1,0.01,0.02,0.7959999999999999,0.105,0.099
