,zipcode,population,pop_density_sq_mile,housing_units,median_home_price,land_area_sq_mile,water_area_sq_mile,occupied_housing_units,median_household_income,median_age,race_per_white,race_per_black_or_aframr,race_per_native_american,race_per_asian,race_per_pacific_islander,race_per_other,race_per_two_or_more,housing_per_owned_w_mortgage,housing_per_owned_free_clear,housing_per_renter_occupied,housing_per_vacant,vacant_per_for_rent,vacant_per_rented_unoccupied,vacant_per_for_sale,vacant_per_sold_unoccupied,vacant_per_seasonal_recreational,vacant_per_migrant_workers,vacant_per_others,edu_per_less_than_hs,edu_per_hs,edu_per_associates,edu_per_bachelors,edu_per_masters,edu_per_professional,edu_per_phd,child_edu_per_enrolled_public,child_edu_per_enrolled_private,child_edu_per_not_enrolled
0,80013,"69,588","4,975","26,047","$192,800",13.99,0.00,"24,791","$67,857",34,67.7&percnt,13.2&percnt,0.9&percnt,6.4&percnt,0.3&percnt,6.1&percnt,5.3&percnt,64&percnt,7&percnt,24&percnt,5&percnt,39&percnt,2&percnt,32&percnt,5&percnt,3&percnt,0&percnt,19&percnt,8.0&percnt,51.0&percnt,12.1&percnt,20.5&percnt,6.9&percnt,0.9&percnt,0.5&percnt,82.0&percnt,7.8&percnt,10.2&percnt
1,80219,"61,296","8,166","20,448","$151,000",7.51,0.07,"19,171","$39,659",30,58.2&percnt,1.8&percnt,2.7&percnt,4.3&percnt,0.1&percnt,28.7&percnt,4.2&percnt,42&percnt,12&percnt,40&percnt,6&percnt,35&percnt,2&percnt,25&percnt,4&percnt,2&percnt,0&percnt,32&percnt,36.5&percnt,48.0&percnt,4.8&percnt,7.9&percnt,2.2&percnt,0.4&percnt,0.2&percnt,83.9&percnt,2.1&percnt,14.0&percnt
2,80015,"62,432","4,367","21,996","$241,500",14.30,0.23,"21,240","$80,599",35,75.9&percnt,8.3&percnt,0.5&percnt,7.1&percnt,0.2&percnt,3.1&percnt,4.9&percnt,73&percnt,6&percnt,18&percnt,3&percnt,27.1&percnt,1.6&percnt,36.9&percnt,4.4&percnt,3.8&percnt,0.7&percnt,25.5&percnt,5&percnt,43&percnt,10&percnt,27&percnt,11&percnt,2&percnt,1&percnt,85.7&percnt,8.6&percnt,5.7&percnt
3,80134,"55,075",977,"20,452","$310,200",56.35,0.08,"19,555","$100,739",35,90.0&percnt,1.4&percnt,0.4&percnt,3.6&percnt,0.1&percnt,1.7&percnt,2.8&percnt,73&percnt,6&percnt,17&percnt,4&percnt,26&percnt,2&percnt,36&percnt,8&percnt,9&percnt,0&percnt,18&percnt,2&percnt,35&percnt,9&percnt,39&percnt,12&percnt,2&percnt,1&percnt,80.0&percnt,13.4&percnt,6.6&percnt
4,80634,"52,861","1,418","21,776","$184,900",37.28,0.09,"20,456","$58,959",36,85.9&percnt,0.8&percnt,0.9&percnt,1.2&percnt,0.1&percnt,8.0&percnt,3.0&percnt,50&percnt,15&percnt,29&percnt,6&percnt,41.0&percnt,1.7&percnt,26.9&percnt,4.8&percnt,5.7&percnt,0.1&percnt,19.9&percnt,10&percnt,50&percnt,9&percnt,20&percnt,7&percnt,1&percnt,2&percnt,77.9&percnt,11.9&percnt,10.3&percnt
5,80016,"41,219",877,"15,602","$372,400",47.00,1.21,"14,607","$101,280",37,78.5&percnt,5.7&percnt,0.3&percnt,9.8&percnt,0.1&percnt,1.9&percnt,3.8&percnt,67&percnt,8&percnt,19&percnt,6&percnt,41&percnt,1&percnt,28&percnt,6&percnt,11&percnt,0&percnt,12&percnt,2&percnt,35&percnt,9&percnt,34&percnt,15&percnt,3&percnt,2&percnt,81.3&percnt,11.8&percnt,6.8&percnt
6,80525,"48,419","1,998","21,347","$269,000",24.24,1.60,"20,324","$63,754",36,90.8&percnt,1.0&percnt,0.6&percnt,2.7&percnt,0.1&percnt,2.3&percnt,2.5&percnt,47&percnt,12&percnt,36&percnt,5&percnt,49.4&percnt,4.1&percnt,16.2&percnt,4.3&percnt,13.6&percnt,0.1&percnt,12.3&percnt,4&percnt,35&percnt,8&percnt,31&percnt,16&percnt,3&percnt,4&percnt,80.2&percnt,12.4&percnt,7.5&percnt
7,80631,"48,603",473,"17,984","$126,500",102.85,0.96,"16,148","$30,235",25,72.7&percnt,2.3&percnt,1.5&percnt,1.4&percnt,0.1&percnt,18.3&percnt,3.7&percnt,28&percnt,11&percnt,51&percnt,10&percnt,53.9&percnt,1.8&percnt,16.3&percnt,2.5&percnt,2.0&percnt,0.6&percnt,22.9&percnt,27.8&percnt,49.4&percnt,6.8&percnt,10.3&percnt,4.2&percnt,0.5&percnt,1.0&percnt,81.8&percnt,3.4&percnt,14.8&percnt
8,80229,"49,598","3,769","18,023","$149,000",13.16,0.37,"16,965","$47,403",30,69.9&percnt,2.0&percnt,1.7&percnt,2.8&percnt,0.1&percnt,19.4&percnt,4.1&percnt,48&percnt,11&percnt,36&percnt,6&percnt,43&percnt,3&percnt,27&percnt,4&percnt,2&percnt,0&percnt,21&percnt,21.0&percnt,57.7&percnt,8.6&percnt,9.1&percnt,2.9&percnt,0.5&percnt,0.2&percnt,82.3&percnt,5.4&percnt,12.2&percnt
9,80504,"46,876",473,"16,985","$258,100",99.06,3.89,"16,179","$80,000",36,85.2&percnt,0.9&percnt,0.9&percnt,2.8&percnt,0.1&percnt,7.4&percnt,2.8&percnt,67&percnt,11&percnt,17&percnt,5&percnt,15.6&percnt,2.0&percnt,36.5&percnt,5.6&percnt,17.1&percnt,0.4&percnt,22.8&percnt,9&percnt,44&percnt,8&percnt,26&percnt,10&percnt,1&percnt,2&percnt,79.6&percnt,10.5&percnt,9.9&percnt
